price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000,7500,3,2,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,furnished
10100000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
10000000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000,5750,3,2,4,yes,no,no,no,yes,1,yes,semi-furnished
9600000,13200,3,1,2,yes,no,yes,no,yes,2,no,unfurnished
9500000,6000,4,2,2,yes,no,no,no,yes,2,yes,furnished
9400000,7200,3,2,1,yes,no,yes,no,yes,1,yes,semi-furnished
9300000,7200,3,1,2,yes,no,no,no,no,2,no,unfurnished
9150000,5000,3,1,2,yes,no,yes,no,yes,2,yes,furnished
9000000,6600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
8900000,8500,4,2,3,yes,no,no,no,yes,2,yes,furnished
8850000,4600,2,1,1,yes,no,no,no,no,1,no,unfurnished
8700000,6420,3,2,2,yes,no,yes,no,yes,2,yes,semi-furnished
8600000,4320,2,1,1,yes,no,no,no,no,1,no,unfurnished
